Unixtime	state	scanDiameter	electrometerN	RHsh	Tsh	Tdsh
1.72E+09	SCAN	379.4627194	4252.56077	45.9	24	11.6
1.72E+09	SCAN	378.0615794	3441.066582	45.8	23.9	11.5
1.72E+09	SCAN	376.642882	3151.990403	45.9	24	11.6
1.72E+09	SCAN	375.2366826	3157.527918	45.9	24	11.6
1.72E+09	SCAN	373.8478262	4293.714437	45.9	24	11.6
1.72E+09	SCAN	372.458585	3028.000626	45.9	24	11.6
1.72E+09	SCAN	371.0843174	4359.304393	45.9	24	11.6
1.72E+09	SCAN	369.7207261	2424.254216	45.8	23.9	11.5
1.72E+09	SCAN	368.3452385	4055.575073	45.8	24	11.5
1.72E+09	SCAN	366.9839652	4011.658815	45.8	24	11.5
1.72E+09	SCAN	365.6237229	4248.740625	45.8	24	11.5
1.72E+09	SCAN	364.2636629	4498.138472	45.8	24	11.5
1.72E+09	SCAN	362.922321	4357.5269	45.8	24	11.6
1.72E+09	SCAN	361.5887244	3126.317729	45.8	23.9	11.5
1.72E+09	SCAN	360.2582924	4038.086884	45.8	24	11.6
1.72E+09	SCAN	358.9427067	4685.87134	45.8	24	11.6
1.72E+09	SCAN	357.6188705	4289.488844	45.8	23.9	11.5
1.72E+09	SCAN	356.3054025	4540.813722	45.8	24	11.5
1.72E+09	SCAN	355.0006781	4497.847105	45.8	24	11.5
1.72E+09	SCAN	353.7050145	4170.421474	45.7	23.9	11.5
1.72E+09	SCAN	352.4029105	4342.881467	45.7	23.9	11.5
1.72E+09	SCAN	351.1092478	4374.61735	45.7	24	11.5
1.72E+09	SCAN	349.8267293	4423.619426	45.7	24	11.5
1.72E+09	SCAN	348.5582914	4473.409273	45.7	24	11.5
1.72E+09	SCAN	347.2803031	4439.569074	45.7	23.9	11.5
1.72E+09	SCAN	346.0051196	3300.117394	45.7	24	11.5
1.72E+09	SCAN	344.7319284	4075.451237	45.7	24	11.5
1.72E+09	SCAN	343.4675658	3813.42286	45.7	24	11.5
1.72E+09	SCAN	342.2124938	4008.775977	45.7	23.9	11.5
1.72E+09	SCAN	340.9637899	4119.023713	45.7	24	11.5
1.72E+09	SCAN	339.7279458	3988.344827	45.6	23.9	11.4
1.72E+09	SCAN	338.4970936	3968.545744	45.7	23.9	11.5
1.72E+09	SCAN	337.2777724	4396.903074	45.6	23.9	11.4
1.72E+09	SCAN	336.0589152	3258.384077	45.6	24	11.5
1.72E+09	SCAN	334.8454778	2780.539058	45.6	24	11.5
1.72E+09	SCAN	333.6303924	4305.686693	45.6	24	11.5
1.72E+09	SCAN	332.4142742	4375.957021	45.6	23.9	11.4
1.72E+09	SCAN	331.2128445	4292.632216	45.6	24	11.5
1.72E+09	SCAN	330.0192919	4269.982669	45.6	24	11.5
1.72E+09	SCAN	328.8326661	4281.811554	45.6	24	11.5
1.72E+09	SCAN	327.6534016	4610.330197	45.6	23.9	11.5
1.72E+09	SCAN	326.4782648	4515.689867	45.6	24	11.5
1.72E+09	SCAN	325.2973207	4128.173254	45.6	24	11.5
1.72E+09	SCAN	324.1283127	4311.224208	45.5	24	11.5
1.72E+09	SCAN	322.9620825	4323.016094	45.6	24	11.5
1.72E+09	SCAN	321.8017305	4065.120812	45.5	24	11.5
1.72E+09	SCAN	320.6475953	4521.776201	45.5	24	11.5
1.72E+09	SCAN	319.5010585	4111.983114	45.5	24	11.5
1.72E+09	SCAN	318.3621776	4435.252525	45.5	24	11.5
1.72E+09	SCAN	317.2268731	4215.698986	45.6	24	11.5
1.72E+09	SCAN	316.0917818	4247.69232	45.6	24	11.5
1.72E+09	SCAN	314.9656024	4714.301979	45.5	24	11.5
1.72E+09	SCAN	313.8447256	4218.187168	45.6	24	11.5
1.72E+09	SCAN	312.72458	4423.946251	45.6	24	11.5
1.72E+09	SCAN	311.6140898	4664.590755	45.5	24	11.5
1.72E+09	SCAN	310.5062877	4482.652854	45.5	24	11.5
1.72E+09	SCAN	309.4058556	4249.89376	45.5	24	11.5
1.72E+09	SCAN	308.3112125	4286.878873	45.5	24.1	11.5
1.72E+09	SCAN	307.219711	4306.798204	45.5	24	11.5
1.72E+09	SCAN	306.1321158	4376.823414	45.5	24.1	11.5
1.72E+09	SCAN	305.0462975	4496.939088	45.5	24	11.5
1.72E+09	SCAN	303.9611068	4669.328167	45.5	24	11.5
1.72E+09	SCAN	302.8879138	4627.018282	45.5	24	11.5
1.72E+09	SCAN	301.8270215	3062.66097	45.5	24	11.5
1.72E+09	SCAN	300.7513759	3304.987386	45.5	24.1	11.5
1.72E+09	SCAN	296.962602	4712.55686	45.5	24.1	11.5
1.72E+09	SCAN	295.9096682	4351.338819	45.5	24.1	11.5
1.72E+09	SCAN	294.8643858	5065.861742	45.5	24	11.5
1.72E+09	SCAN	293.828078	4344.504798	45.5	24.1	11.5
1.72E+09	SCAN	292.7893818	4786.935618	45.5	24.1	11.5
1.72E+09	SCAN	291.7528212	4715.148331	45.5	24.1	11.5
1.72E+09	SCAN	290.7302217	4008.254908	45.5	24	11.5
1.72E+09	SCAN	289.7112389	4585.961738	45.5	24	11.5
1.72E+09	SCAN	288.6938563	4640.586119	45.5	24.1	11.5
1.72E+09	SCAN	287.6847088	4592.026489	45.4	24	11.5
1.72E+09	SCAN	286.68059	4604.834305	45.5	24	11.5
1.72E+09	SCAN	285.6850458	4745.933031	45.4	24	11.4
1.72E+09	SCAN	284.685137	4511.985344	45.5	24	11.5
1.72E+09	SCAN	283.684367	4480.650284	45.5	24	11.5
1.72E+09	SCAN	282.6897954	3514.138043	45.5	24	11.5
1.72E+09	SCAN	281.7046231	3040.005256	45.4	23.9	11.4
1.72E+09	SCAN	280.7253035	3751.335474	45.5	24	11.5
1.72E+09	SCAN	279.7487921	4801.932541	45.5	24	11.5
1.72E+09	SCAN	278.7762193	3292.975048	45.5	24	11.5
1.72E+09	SCAN	277.8064078	4545.555759	45.5	24	11.5
1.72E+09	SCAN	276.8418313	3874.936761	45.5	24	11.5
1.72E+09	SCAN	275.8814787	4026.048338	45.4	24	11.4
1.72E+09	SCAN	274.9351563	4682.333311	45.5	24	11.5
1.72E+09	SCAN	273.9778723	4446.196518	45.5	24	11.5
1.72E+09	SCAN	273.0306922	4156.708724	45.5	24	11.5
1.72E+09	SCAN	272.0922658	4622.948393	45.5	24	11.5
1.72E+09	SCAN	271.1509604	4442.177502	45.5	24	11.5
1.72E+09	SCAN	270.2153429	4491.108665	45.4	23.9	11.4
1.72E+09	SCAN	269.2879843	4525.004363	45.5	24	11.5
1.72E+09	SCAN	268.3566782	4665.042451	45.5	24	11.5
1.72E+09	SCAN	267.4413316	4504.574755	45.5	24	11.5
1.72E+09	SCAN	266.5210866	4792.539423	45.5	24	11.5
1.72E+09	SCAN	265.6086695	2724.94037	45.5	24	11.5
1.72E+09	SCAN	264.6988421	4637.271627	45.4	24	11.4
1.72E+09	SCAN	263.7980315	4519.900044	45.5	24	11.5
1.72E+09	SCAN	262.8948254	4477.115339	45.5	24	11.5
1.72E+09	SCAN	261.9972395	4691.521393	45.5	24	11.4
1.72E+09	SCAN	261.1046874	4203.72673	45.5	24	11.4
1.72E+09	SCAN	260.212151	4382.582923	45.5	24	11.5
1.72E+09	SCAN	259.3194369	4768.248046	45.5	24	11.4
1.72E+09	SCAN	258.4367206	4323.863987	45.5	23.9	11.4
1.72E+09	SCAN	257.5515498	4733.217712	45.5	24	11.4
1.72E+09	SCAN	256.6708885	4264.09983	45.5	24	11.5
1.72E+09	SCAN	255.7988223	4607.922179	45.5	24	11.5
1.72E+09	SCAN	254.9307527	4479.779266	45.5	24	11.4
1.72E+09	SCAN	254.0623856	4293.369113	45.4	23.9	11.4
1.72E+09	SCAN	253.1969895	4588.49771	45.5	24	11.4
1.72E+09	SCAN	252.3423469	2710.436767	45.5	24	11.5
1.72E+09	SCAN	251.4861284	4499.553684	45.5	24	11.5
1.72E+09	SCAN	250.6393988	4468.752026	45.5	24	11.5
1.72E+09	SCAN	249.7914537	4559.132846	45.5	24	11.5
1.72E+09	SCAN	248.9424366	4388.397931	45.5	24	11.5
1.72E+09	SCAN	248.0956569	4311.574157	45.5	24	11.5
1.72E+09	SCAN	247.2541882	4269.939503	45.5	24	11.5
1.72E+09	SCAN	246.4244625	4390.377377	45.5	24	11.5
1.72E+09	SCAN	245.5895498	3511.159624	45.5	24	11.5
1.72E+09	SCAN	244.7574238	4458.985834	45.5	23.9	11.4
1.72E+09	SCAN	243.9388519	4528.838383	45.5	24	11.5
1.72E+09	SCAN	243.1168845	4230.532497	45.5	24	11.5
1.72E+09	SCAN	242.2998061	4655.905242	45.5	24	11.5
1.72E+09	SCAN	241.4918753	4380.338318	45.5	24	11.5
1.72E+09	SCAN	240.6805464	3057.055623	45.5	24	11.5
1.72E+09	SCAN	239.8709683	3712.592908	45.5	24	11.4
1.72E+09	SCAN	239.0640164	4381.032049	45.5	24	11.5
1.72E+09	SCAN	238.2666821	4426.294145	45.5	24	11.5
1.72E+09	SCAN	237.4694793	4167.848503	45.5	24	11.5
1.72E+09	SCAN	236.6778793	3648.122171	45.5	24	11.5
1.72E+09	SCAN	235.884416	4313.587518	45.5	24.1	11.5
1.72E+09	SCAN	235.0957486	4518.503332	45.5	24	11.5
1.72E+09	SCAN	234.3134455	4158.598756	45.5	24	11.5
1.72E+09	SCAN	233.5340729	4449.770003	45.6	24	11.5
1.72E+09	SCAN	232.7530956	4453.432903	45.6	24	11.5
1.72E+09	SCAN	231.9708086	4683.9736	45.5	24	11.5
1.72E+09	SCAN	231.1962053	4493.455017	45.6	24	11.5
1.72E+09	SCAN	230.4301036	4605.139547	45.6	24	11.5
1.72E+09	SCAN	229.6593485	4424.129704	45.6	24	11.5
1.72E+09	SCAN	228.8981952	4309.739623	45.6	24	11.5
1.72E+09	SCAN	228.1342678	4306.975491	45.6	24	11.5
1.72E+09	SCAN	227.3738361	4203.554068	45.5	24	11.5
1.72E+09	SCAN	226.6123726	4469.066517	45.6	24	11.5
1.72E+09	SCAN	225.8634545	4193.404012	45.5	24	11.5
1.72E+09	SCAN	225.1149662	4453.197034	45.6	24	11.5
1.72E+09	SCAN	224.3754295	4221.900942	45.6	24	11.5
1.72E+09	SCAN	223.6310863	3903.520022	45.6	24	11.5
1.72E+09	SCAN	222.8852122	3875.55187	45.6	24	11.5
1.72E+09	SCAN	222.1480421	4140.019097	45.5	24	11.5
1.72E+09	SCAN	221.4169132	4344.68671	45.6	24	11.5
1.72E+09	SCAN	220.6781901	4499.328606	45.6	24	11.5
1.72E+09	SCAN	219.960264	3562.705381	45.6	24	11.5
1.72E+09	SCAN	219.2400417	3191.556196	45.6	24	11.5
1.72E+09	SCAN	218.5141262	4319.145075	45.6	24	11.5
1.72E+09	SCAN	217.7928735	3952.304729	45.5	23.9	11.4
1.72E+09	SCAN	217.0866524	4272.234982	45.7	24	11.6
1.72E+09	SCAN	216.3721413	4247.237541	45.7	24	11.5
